time,lat,lon,altitude_m,velocity_mps,mass_kg,fuel_remaining
4.799999999999999,28.563258288734577,-80.57720326343338,-48.87592586129904,415.23339000639896,535575.5574335459,488191.55743354594
4.899999999999999,28.563315796803305,-80.57719622404959,-50.88857376296073,415.28339099807675,535300.4871770877,487916.4871770877
4.999999999999998,28.56337447401609,-80.57718901979437,-52.942553161643445,415.33713214819903,535025.4169206294,487641.41692062945
5.099999999999998,28.56343432111543,-80.57718164970271,-55.037907587364316,415.3946208075976,534750.3466641712,487366.3466641712
5.1999999999999975,28.56349533884368,-80.57717411280834,-57.174680637195706,415.45586423368314,534475.276407713,487091.27640771295
5.299999999999997,28.563557527943033,-80.57716640814382,-59.35291597992182,415.52086958982653,534200.2061512547,486816.2061512547
5.399999999999997,28.563620889155537,-80.57715853474049,-61.57265735510737,415.5896439447378,533925.1358947965,486541.13589479646
5.4999999999999964,28.563685423223063,-80.57715049162849,-63.83394857309759,415.6621942718697,533650.0656383382,486266.0656383382
5.599999999999996,28.563751130887308,-80.57714227783667,-66.13683351036161,415.73852744881736,533374.99538188,485990.99538187997
5.699999999999996,28.563818012889797,-80.57713389239277,-68.48135611601174,415.8186502567417,533099.9251254217,485715.9251254217
5.799999999999995,28.5638860699719,-80.57712533432324,-70.86756040900946,415.9025693798007,532824.8548689635,485440.8548689635
5.899999999999995,28.563955302874785,-80.57711660265332,-73.29549047816545,415.99029140459766,532549.7846125052,485165.78461250523
5.999999999999995,28.56402571233946,-80.57710769640704,-75.76519048213959,416.08182281963013,532274.714356047,484890.714356047
6.099999999999994,28.564097299106717,-80.5770986146072,-78.27670464664698,416.1771700147683,531999.6440995887,484615.64409958874
6.199999999999994,28.564170063917192,-80.57708935627535,-80.83007727283984,416.27633928072885,531724.5738431305,484340.5738431305
6.299999999999994,28.56424400751131,-80.57707992043188,-83.42535272520036,416.37933680857674,531449.5035866722,484065.50358667225
6.399999999999993,28.564319130629297,-80.57707030609588,-86.06257544178516,416.4861686892308,531174.433330214,483790.433330214
6.499999999999993,28.564395434011185,-80.57706051228523,-88.7417899267748,416.59684091298124,530899.3630737558,483515.36307375575
6.5999999999999925,28.564472918396806,-80.57705053801658,-91.463040756993,416.7113593690312,530624.2928172975,483240.2928172975
6.699999999999992,28.564551584525766,-80.57704038230533,-94.22637257818133,416.82972984503624,530349.2225608393,482965.22256083926
6.799999999999992,28.56463143313747,-80.5770300441657,-97.03183009754866,416.9519580266723,530074.152304381,482690.152304381
6.8999999999999915,28.564712464971116,-80.57701952261058,-99.87945810239762,417.0780494972053,529799.0820479228,482415.08204792277
6.999999999999991,28.564794680765665,-80.57700881665171,-102.76930144522339,417.20800973708424,529524.0117914645,482140.0117914645
7.099999999999991,28.564878081259867,-80.57699792529952,-105.70140504278243,417.34184412354006,529248.9415350063,481864.9415350063
7.19999999999999,28.564962667192237,-80.57698684756325,-108.67581388819963,417.47955793019895,528973.871278548,481589.87127854803
7.29999999999999,28.56504843930106,-80.57697558245084,-111.69257303513587,417.6211563267204,528698.8010220898,481314.8010220898
7.39999999999999,28.565135398324397,-80.57696412896902,-114.75172761362046,417.7666443784327,528423.7307656315,481039.73076563154
7.499999999999989,28.565223545000038,-80.57695248612329,-117.85332281794399,417.9160270459922,528148.6605091733,480764.6605091733
7.599999999999989,28.565312880065576,-80.57694065291786,-120.99740390945226,418.0693091850596,527873.590252715,480489.59025271505
7.699999999999989,28.56540340425832,-80.57692862835566,-124.18401622213423,418.2264955459843,527598.5199962568,480214.5199962568
7.799999999999988,28.565495118315344,-80.57691641143848,-127.41320515610278,418.38759077350176,527323.4497397986,479939.44973979855
7.899999999999988,28.56558802297346,-80.57690400116672,-130.6850161794573,418.5525994064537,527048.3794833403,479664.3794833403
7.999999999999988,28.565682118969228,-80.57689139653964,-133.99949482642114,418.72152587751117,526773.3092268821,479389.30922688206
8.099999999999987,28.565777407038937,-80.57687859655513,-137.3566867057234,418.8943745129226,526498.2389704238,479114.2389704238
8.199999999999987,28.565873887918606,-80.57686560020994,-140.7566374875605,419.07114953227244,526223.1687139656,478839.16871396557
8.299999999999986,28.565971562343993,-80.57685240649944,-144.1993929129094,419.251855048251,525948.0984575073,478564.0984575073
8.399999999999986,28.566070431050576,-80.57683901441781,-147.68499878887087,419.43649506644323,525673.0282010491,478289.0282010491
8.499999999999986,28.566170494773548,-80.57682542295797,-151.21350099146366,419.62507348513054,525397.9579445908,478013.95794459083
8.599999999999985,28.56627175424783,-80.57681163111151,-154.7849454637617,419.8175940951082,525122.8876881326,477738.8876881326
8.699999999999985,28.566374210208036,-80.57679763786881,-158.39937821868807,420.0140605795145,524847.8174316743,477463.81743167434
8.799999999999985,28.566477863388496,-80.57678344221897,-162.05684533249587,420.2144765136782,524572.7471752161,477188.7471752161
8.899999999999984,28.56658271452325,-80.5767690431498,-165.75739295128733,420.4188453649785,524297.6769187578,476913.67691875785
8.999999999999984,28.566688764346033,-80.57675443964783,-169.50106728635728,420.6271704927199,524022.6066622996,476638.6066622996
9.099999999999984,28.566796013590263,-80.57673963069834,-173.28791461791843,420.8394551480229,523747.53640584135,476363.53640584135
9.199999999999983,28.566904462989065,-80.57672461528531,-177.11798129417002,421.0557024737302,523472.4661493831,476088.4661493831
9.299999999999983,28.567014113275242,-80.57670939239148,-180.99131372664124,421.27591550432146,523197.39589292486,475813.39589292486
9.399999999999983,28.56712496518128,-80.57669396099827,-184.90795839764178,421.50009716584907,522922.3256364666,475538.3256364666
9.499999999999982,28.567237019439336,-80.57667832008582,-188.86796185281128,421.728250275889,522647.25538000837,475263.25538000837
9.599999999999982,28.56735027678125,-80.576662468633,-192.87137070577592,421.9603775435026,522372.1851235501,474988.1851235501
9.699999999999982,28.567464737938515,-80.57664640561741,-196.91823163907975,422.1964815692124,522097.1148670919,474713.1148670919
